Name,Scientific Name,Conservation Status,Distinctive Features,Size,Habitat,Behavior,Range
Red-vented Bulbul,Pycnonotus cafer,Least Concern,"Black crest, white rump, red vent under tail",Medium-sized,Often seen high in trees or perched on wires in urban and rural areas; generally prefers scrubby edge habitat instead of dense forest,Conspicuous and sometimes gregarious,"Native to South and Southeast Asia. Introduced to Kuwait, Qatar, UAE, Oman, and some Polynesian islands, including Hawaii"
Blue-tailed Bee-eater,Merops philippinus,Least Concern,"Thin black mask, rufous throat, elongated central tail feathers (in adults), broad and sharply pointed wings, long tail, and long bill",a bird of varying sizes,Open country,Frequently seen in flight or perched on exposed snags or telephone wires,several regions around the world
White-throated Kingfisher,Halcyon smyrnensis,Least Concern,"Large head, electric-blue back and wings, heavy red bill, snow-white throat patch",a bird of varying sizes,"Near wetlands, lakes, agricultural fields, and clearings","Frequently seen perched on fence posts and telephone lines; gives jarring, raptor-like descending trills and cackles, often in flight",several regions around the world
Gray-headed Swamphen,Porphyrio poliocephalus,not well-documented,"Red bill and forehead shield, red legs and feet with long toes, fluffy white “underpants”",Very large,"Marshy, vegetated freshwater bodies such as swamps, rivers, and lakes","Often clumsy, feeds at muddy water edges, in reeds, and on floating vegetation; usually in small groups",several regions around the world
White-breasted Waterhen,Amaurornis phoenicurus,Least Concern,"Chickenlike appearance, rusty patch under the tail",Medium-sized,"Meadows, ditches, riversides, marshes, parks, and farmlands",Often seen foraging in the open; often found in close proximity to humans,several regions around the world
Red-wattled Lapwing,Vanellus indicus,Least Concern,"Red wattles in front of the eyes, red bill with black tip, black breast and throat, white cheek patch",a bird of varying sizes,"Found around water bodies, agricultural fields, and dry land",Usually found in small groups; runs a short distance to pick up food from the ground,several regions around the world
Little Cormorant,Microcarbo niger,Least Concern,"Flat head, sharply hooked bill, small size compared to other cormorants",Smallest of the cormorants found in the region,Inland water bodies,"Frequently seen swimming with its body low in the water, often perches upright on a rock to dry itself with outstretched wings",several regions around the world
Black-headed Ibis,Threskiornis melanocephalus,Near Threatened,"Bare black head and neck, down-curved black bill",Large,"Wetlands, agricultural fields, coastal areas, dry fields, and human-modified landscapes","Probes into mud and shallow water with its long, down-curved bill, sometimes submerging its entire head while foraging",several regions around the world
Indian Pond-Heron,Ardeola grayii,Least Concern,"Dark reddish brown back, yellowish head, neck, and breast in breeding plumage; strikingly white in flight",Small,Aquatic habitats across the Indian subcontinent,"Solitary, but large numbers gather where food is plentiful; prone to seasonally local movements and vagrancy",several regions around the world
Little Egret,Egretta garzetta,not well-documented,"Wispy head plumes and white plumes on the lower back in breeding adults; slender dark bill, yellowish feet (""golden slippers"")",Small,"Wetlands, lakes, rivers, marshes, estuaries",Occurs as singles or in small loose groups; nests and roosts communally,several regions around the world
Purple Heron,Ardea purpurea,Least Concern,"Rusty head and streaky neck, extensively rusty brown on upperparts (juvenile)",Large,Fresh marshes with tall reeds and other vegetation,Often more retiring than Gray Heron; rarely seen in open situations,several regions around the world
Brahminy Kite,Haliastur indus,Least Concern,"Rounded tail, white head and breast contrasting with brick brown plumage",Medium-sized,Inland and coastal wetlands in tropical Asia; restricted to coastal wetlands in Australia,No information available,Tropical Asia and coastal wetlands in Australia
