GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS871512585,2023-10-22 20:02:08.392561,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-01-04,16:00:00,obsr1139427,S65232533,Traveling,P22,EBIRD,120.0,2.0,,8.0,1,G5571427,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS896445786,2024-02-12 05:44:39.559593,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-01-12,06:00:00,obsr1001147,S67340474,Traveling,P22,EBIRD,360.0,8.047,,4.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS884276656,2023-10-23 19:47:03.518772,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2020-01-12,07:00:00,obsr580318,S66264091,Traveling,P22,EBIRD,360.0,5.0,,4.0,0,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS873534074,2023-10-22 20:00:03.40601,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Road,L10892553,P,6.087528,80.9468062,2020-01-06,07:09:00,obsr1547179,S65395714,Traveling,P22,EBIRD,236.0,4.345,,2.0,0,,0,1,0,,,White-throated kingfisher,
URN:CornellLabOfOrnithology:EBIRD:OBS960622179,2023-10-22 20:00:25.870217,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-01-04,16:00:00,obsr1797598,S71829734,Traveling,P22,EBIRD,120.0,2.0,,8.0,1,G5571427,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1010443495,2023-10-23 19:15:01.220259,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalamatiya Road, Kalametiya, Southern Province, LK (6.082, 80.936)",L12707393,P,6.0821269,80.9363655,2020-02-04,06:00:00,obsr225465,S76117137,Traveling,P22,EBIRD,480.0,10.0,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1009995432,2023-10-22 20:06:21.279638,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,22,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sancruary,L12700396,P,6.094627,80.9507516,2020-02-01,15:30:00,obsr225081,S76075159,Traveling,P22,EBIRD,90.0,3.0,,5.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS859045260,2024-08-25 08:08:46.686128,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2020-02-02,08:00:00,obsr922075,S64033554,Traveling,P22,EBIRD,120.0,1.0,,2.0,1,G4935314,0,1,0,,With Athula,,
URN:CornellLabOfOrnithology:EBIRD:OBS865146683,2022-10-22 00:26:06.489871,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Turtle Bay, Kalametiya",L10756502,P,6.076261,80.93352,2020-02-16,16:34:00,obsr293878,S64556050,Traveling,P22,EBIRD,68.0,3.826,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS896414228,2023-10-23 19:47:12.995479,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-02-01,13:00:00,obsr1001147,S67337980,Traveling,P22,EBIRD,180.0,24.14,,5.0,1,,0,1,0,,,,
