GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1309546237	2023-10-23 19:22:46.607435	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				16					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L13887993	P	6.0799399	80.9329748	2022-01-02	16:30:00	obsr1258103	S100002855	Traveling	P22	EBIRD	120	1.500		7	1		0	1	0		Clear, sunny afternoon. The birds were observed from rafts along the lagoon and river.		
URN:CornellLabOfOrnithology:EBIRD:OBS1309539470	2023-10-17 03:09:42.732041	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Villa Tanderra	L17307801	P	6.0760150	80.9329447	2022-01-03	06:30:00	obsr1258103	S100003014	Traveling	P22	EBIRD	30	0.500		2	1		0	1	0		Clear, sunny morning.		
URN:CornellLabOfOrnithology:EBIRD:OBS1332921520	2023-10-22 20:02:48.892419	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				11					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya plains	L17626634	P	6.0869486	80.9460807	2022-02-02	16:17:00	obsr1623604	S101908987	Traveling	P22	EBIRD	12	1.370		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1333990855	2023-10-23 19:23:29.257599	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				15					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna Rock , Kalametiya, Southern Province, LK (6.085, 80.933)	L17638416	P	6.0846090	80.9334603	2022-02-04	16:03:00	obsr225081	S101988650	Stationary	P21	EBIRD	9			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334055968	2023-10-23 19:23:30.42053	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				12					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-02-04	17:38:00	obsr1001147	S101992924	Traveling	P22	EBIRD	49	2.570		5	1	G7821502	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1346560882	2024-08-25 01:52:12.752563	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-02-19	09:30:00	obsr2018658	S103124898	Traveling	P22	EBIRD	360	2.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334047370	2023-10-23 19:23:29.964364	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr225081	S101992247	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2605046033	2024-11-11 06:01:54.284471	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr333980	S202125233	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334063969	2023-10-23 19:23:30.5459	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr580318	S101993660	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334049293	2023-10-23 19:23:30.077948	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				12					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-02-04	17:38:00	obsr225081	S101992294	Traveling	P22	EBIRD	49	2.570		5	1	G7821502	0	1	0				
