GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1309539461	2023-10-17 03:09:42.732041	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Villa Tanderra	L17307801	P	6.0760150	80.9329447	2022-01-03	06:30:00	obsr1258103	S100003014	Traveling	P22	EBIRD	30	0.500		2	1		0	1	0		Clear, sunny morning.		
URN:CornellLabOfOrnithology:EBIRD:OBS1309546242	2023-10-23 19:22:46.607435	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L13887993	P	6.0799399	80.9329748	2022-01-02	16:30:00	obsr1258103	S100002855	Traveling	P22	EBIRD	120	1.500		7	1		0	1	0		Clear, sunny afternoon. The birds were observed from rafts along the lagoon and river.		
URN:CornellLabOfOrnithology:EBIRD:OBS1333985649	2023-10-23 19:23:29.137098	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr1001147	S101989109	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2605046006	2024-11-11 06:01:54.284471	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr333980	S202125233	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334047343	2023-10-23 19:23:29.964364	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr225081	S101992247	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1346553017	2024-08-25 01:52:12.752563	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-02-19	09:30:00	obsr2018658	S103124898	Traveling	P22	EBIRD	360	2.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334063942	2023-10-23 19:23:30.5459	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr580318	S101993660	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1373378956	2023-10-23 19:24:34.366564	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-03-24	06:50:00	obsr2018658	S105465554	Traveling	P22	EBIRD	412	4.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1382646162	2023-10-23 19:24:49.581827	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-04-04	13:41:00	obsr906919	S106246594	Traveling	P22	EBIRD	120	3.450		4	1	G8123499	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1400600750	2023-10-23 19:25:12.978165	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-04-23	09:12:00	obsr2812400	S107751726	Traveling	P22	EBIRD	5	2.679		1	1		0	1	0				
