GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS1309546250,2023-10-23 19:22:46.607435,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L13887993,P,6.0799399,80.9329748,2022-01-02,16:30:00,obsr1258103,S100002855,Traveling,P22,EBIRD,120.0,1.5,,7.0,1,,0,1,0,,"Clear, sunny afternoon. The birds were observed from rafts along the lagoon and river.",,
URN:CornellLabOfOrnithology:EBIRD:OBS1309539456,2023-10-17 03:09:42.732041,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Villa Tanderra,L17307801,P,6.076015,80.9329447,2022-01-03,06:30:00,obsr1258103,S100003014,Traveling,P22,EBIRD,30.0,0.5,,2.0,1,,0,1,0,,"Clear, sunny morning.",,
URN:CornellLabOfOrnithology:EBIRD:OBS1334048727,2023-10-23 19:23:29.964364,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,8,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Gurupokuna - Kalametiya,L17638626,P,6.0837023,80.9323441,2022-02-04,15:42:00,obsr225081,S101992247,Traveling,P22,EBIRD,39.0,1.3,,1.0,1,G7821490,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1334049465,2023-10-22 02:59:01.388532,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Hungama - Gurupokuna Road, Southern Province, LK (6.097, 80.924)",L17638336,P,6.0968647,80.9243003,2022-02-04,15:28:00,obsr333980,S101992303,Traveling,P22,EBIRD,8.0,2.29,,5.0,1,G7821481,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1333992668,2023-10-22 02:59:00.197386,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Hungama - Gurupokuna Road, Southern Province, LK (6.097, 80.924)",L17638336,P,6.0968647,80.9243003,2022-02-04,15:28:00,obsr1001147,S101989013,Traveling,P22,EBIRD,8.0,2.29,,5.0,1,G7821481,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1334041080,2023-10-22 20:02:57.669046,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-02-04,16:35:00,obsr580318,S101991616,Traveling,P22,EBIRD,60.0,1.01,,7.0,1,G7821541,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2605046040,2024-11-11 06:01:54.284471,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,8,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Gurupokuna - Kalametiya,L17638626,P,6.0837023,80.9323441,2022-02-04,15:42:00,obsr333980,S202125233,Traveling,P22,EBIRD,39.0,1.3,,1.0,1,G7821490,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1334035935,2023-10-22 02:59:00.617985,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Hungama - Gurupokuna Road, Southern Province, LK (6.097, 80.924)",L17638336,P,6.0968647,80.9243003,2022-02-04,15:28:00,obsr225081,S101991230,Traveling,P22,EBIRD,8.0,2.29,,5.0,1,G7821481,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1333985683,2023-10-23 19:23:29.137098,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,8,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Gurupokuna - Kalametiya,L17638626,P,6.0837023,80.9323441,2022-02-04,15:42:00,obsr1001147,S101989109,Traveling,P22,EBIRD,39.0,1.3,,1.0,1,G7821490,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2605045987,2024-11-11 06:01:50.409534,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-02-04,16:35:00,obsr333980,S202125231,Traveling,P22,EBIRD,60.0,1.01,,7.0,1,G7821541,0,1,0,,,,
