OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,DATETIME,Year,Month,Day,Day_of_Week,Hour,OBSERVATION,COUNTY_ENCODED,LOCALITY_ENCODED,COMMON NAME_Blue-tailed Bee-eater,COMMON NAME_Red-vented Bulbul,COMMON NAME_White-throated Kingfisher
8.0,Tangalle,Buckingham Place Hotel Tangalle,6.0463438,80.8541554,2020-01-01,06:00:00,2020-01-01 06:00:00,2020.0,1.0,1.0,2.0,6.0,1,8,46,False,True,False
0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-02,06:00:00,2020-01-02 06:00:00,2020.0,1.0,2.0,3.0,6.0,0,3,69,True,False,False
0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-02,06:00:00,2020-01-02 06:00:00,2020.0,1.0,2.0,3.0,6.0,0,3,69,False,True,False
20.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-02,06:00:00,2020-01-02 06:00:00,2020.0,1.0,2.0,3.0,6.0,1,3,69,False,False,True
1.0,Tangalle,Buckingham Place Hotel Tangalle,6.0463438,80.8541554,2020-01-02,09:30:00,2020-01-02 09:30:00,2020.0,1.0,2.0,3.0,9.0,1,8,46,False,False,True
40.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,07:00:00,2020-01-03 07:00:00,2020.0,1.0,3.0,4.0,7.0,1,3,69,False,True,False
4.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,07:00:00,2020-01-03 07:00:00,2020.0,1.0,3.0,4.0,7.0,1,3,69,False,False,True
10.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,07:00:00,2020-01-03 07:00:00,2020.0,1.0,3.0,4.0,7.0,1,3,69,True,False,False
0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,08:51:00,2020-01-03 08:51:00,2020.0,1.0,3.0,4.0,8.0,0,3,69,True,False,False
0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,08:51:00,2020-01-03 08:51:00,2020.0,1.0,3.0,4.0,8.0,0,3,69,False,False,True
0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,08:51:00,2020-01-03 08:51:00,2020.0,1.0,3.0,4.0,8.0,0,3,69,False,True,False
0.0,Hambantota,Bundala National Park,6.1930548,81.2218203,2020-01-04,06:00:00,2020-01-04 06:00:00,2020.0,1.0,4.0,5.0,6.0,0,3,71,False,True,False
0.0,Hambantota,Bundala National Park,6.1930548,81.2218203,2020-01-04,06:00:00,2020-01-04 06:00:00,2020.0,1.0,4.0,5.0,6.0,0,3,71,False,False,True
1.0,Lunugamvehera,Bundala Freshwater Marsh,6.1963995,81.2109113,2020-01-04,06:00:00,2020-01-04 06:00:00,2020.0,1.0,4.0,5.0,6.0,1,5,57,False,False,True
1.0,Lunugamvehera,Bundala Freshwater Marsh,6.1963995,81.2109113,2020-01-04,06:00:00,2020-01-04 06:00:00,2020.0,1.0,4.0,5.0,6.0,1,5,57,True,False,False
2.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020.0,1.0,4.0,5.0,16.0,1,0,219,False,False,True
2.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020.0,1.0,4.0,5.0,16.0,1,0,219,False,False,True
5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020.0,1.0,4.0,5.0,16.0,1,0,219,True,False,False
5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020.0,1.0,4.0,5.0,16.0,1,0,219,True,False,False
5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020.0,1.0,4.0,5.0,16.0,1,0,219,False,True,False
5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020.0,1.0,4.0,5.0,16.0,1,0,219,False,True,False
1.0,Thissamaharama,Thissamaharama Stupa temple,6.2800217,81.291378,2020-01-04,16:30:00,2020-01-04 16:30:00,2020.0,1.0,4.0,5.0,16.0,1,9,459,False,True,False
1.0,Hambantota,Bundala NP,6.188598,81.2200356,2020-01-05,05:46:00,2020-01-05 05:46:00,2020.0,1.0,5.0,6.0,5.0,1,3,66,True,False,False
1.0,Hambantota,Bundala NP,6.188598,81.2200356,2020-01-05,05:46:00,2020-01-05 05:46:00,2020.0,1.0,5.0,6.0,5.0,1,3,66,False,True,False
1.0,Thissamaharama,Thissamaharama Stupa temple,6.2800217,81.291378,2020-01-05,06:00:00,2020-01-05 06:00:00,2020.0,1.0,5.0,6.0,6.0,1,9,459,True,False,False
1.0,Thissamaharama,Thissamaharama Stupa temple,6.2800217,81.291378,2020-01-05,06:00:00,2020-01-05 06:00:00,2020.0,1.0,5.0,6.0,6.0,1,9,459,False,False,True
4.0,Thissamaharama,Tissa Lake,6.2885959,81.2879062,2020-01-05,08:30:00,2020-01-05 08:30:00,2020.0,1.0,5.0,6.0,8.0,1,9,461,False,False,True
4.0,Thissamaharama,Tissa Lake,6.2885959,81.2879062,2020-01-05,08:30:00,2020-01-05 08:30:00,2020.0,1.0,5.0,6.0,8.0,1,9,461,False,False,True
1.0,Ambalantota,Kalametiya Road,6.087528,80.9468062,2020-01-06,07:09:00,2020-01-06 07:09:00,2020.0,1.0,6.0,0.0,7.0,1,0,222,True,False,False
1.0,Ambalantota,Kalametiya Road,6.087528,80.9468062,2020-01-06,07:09:00,2020-01-06 07:09:00,2020.0,1.0,6.0,0.0,7.0,1,0,222,False,True,False
1.0,Ambalantota,Kalametiya Road,6.087528,80.9468062,2020-01-06,07:09:00,2020-01-06 07:09:00,2020.0,1.0,6.0,0.0,7.0,1,0,222,False,False,True
3.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020.0,1.0,6.0,0.0,8.0,1,9,589,False,False,True
3.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020.0,1.0,6.0,0.0,8.0,1,9,589,False,False,True
5.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020.0,1.0,6.0,0.0,8.0,1,9,589,True,False,False
5.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020.0,1.0,6.0,0.0,8.0,1,9,589,True,False,False
