COMMON NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,DATETIME,Year,Month,Day,Day_of_Week,Hour,OBSERVATION,COUNTY_ENCODED,LOCALITY_ENCODED,COMMON NAME_ENCODED,Is_Summer,Is_Winter,Is_Spring,Is_Autumn,Is_Morning,Is_Afternoon,Is_Evening,Is_Night
Red-vented Bulbul,8.0,Tangalle,Buckingham Place Hotel Tangalle,6.0463438,80.8541554,2020-01-01,06:00:00,2020-01-01 06:00:00,2020,1,1,2,6,1,8,46,1,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-02,06:00:00,2020-01-02 06:00:00,2020,1,2,3,6,0,3,69,0,0,1,0,0,1,0,0,0
Red-vented Bulbul,0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-02,06:00:00,2020-01-02 06:00:00,2020,1,2,3,6,0,3,69,1,0,1,0,0,1,0,0,0
White-throated Kingfisher,20.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-02,06:00:00,2020-01-02 06:00:00,2020,1,2,3,6,1,3,69,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,1.0,Tangalle,Buckingham Place Hotel Tangalle,6.0463438,80.8541554,2020-01-02,09:30:00,2020-01-02 09:30:00,2020,1,2,3,9,1,8,46,2,0,1,0,0,1,0,0,0
Red-vented Bulbul,40.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,07:00:00,2020-01-03 07:00:00,2020,1,3,4,7,1,3,69,1,0,1,0,0,1,0,0,0
White-throated Kingfisher,4.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,07:00:00,2020-01-03 07:00:00,2020,1,3,4,7,1,3,69,2,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,10.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,07:00:00,2020-01-03 07:00:00,2020,1,3,4,7,1,3,69,0,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,08:51:00,2020-01-03 08:51:00,2020,1,3,4,8,0,3,69,0,0,1,0,0,1,0,0,0
White-throated Kingfisher,0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,08:51:00,2020-01-03 08:51:00,2020,1,3,4,8,0,3,69,2,0,1,0,0,1,0,0,0
Red-vented Bulbul,0.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,08:51:00,2020-01-03 08:51:00,2020,1,3,4,8,0,3,69,1,0,1,0,0,1,0,0,0
Red-vented Bulbul,0.0,Hambantota,Bundala National Park,6.1930548,81.2218203,2020-01-04,06:00:00,2020-01-04 06:00:00,2020,1,4,5,6,0,3,71,1,0,1,0,0,1,0,0,0
White-throated Kingfisher,0.0,Hambantota,Bundala National Park,6.1930548,81.2218203,2020-01-04,06:00:00,2020-01-04 06:00:00,2020,1,4,5,6,0,3,71,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,1.0,Lunugamvehera,Bundala Freshwater Marsh,6.1963995,81.2109113,2020-01-04,06:00:00,2020-01-04 06:00:00,2020,1,4,5,6,1,5,57,2,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,1.0,Lunugamvehera,Bundala Freshwater Marsh,6.1963995,81.2109113,2020-01-04,06:00:00,2020-01-04 06:00:00,2020,1,4,5,6,1,5,57,0,0,1,0,0,1,0,0,0
White-throated Kingfisher,2.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020,1,4,5,16,1,0,219,2,0,1,0,0,0,1,0,0
White-throated Kingfisher,2.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020,1,4,5,16,1,0,219,2,0,1,0,0,0,1,0,0
Blue-tailed Bee-eater,5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020,1,4,5,16,1,0,219,0,0,1,0,0,0,1,0,0
Blue-tailed Bee-eater,5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020,1,4,5,16,1,0,219,0,0,1,0,0,0,1,0,0
Red-vented Bulbul,5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020,1,4,5,16,1,0,219,1,0,1,0,0,0,1,0,0
Red-vented Bulbul,5.0,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00,2020-01-04 16:00:00,2020,1,4,5,16,1,0,219,1,0,1,0,0,0,1,0,0
Red-vented Bulbul,1.0,Thissamaharama,Thissamaharama Stupa temple,6.2800217,81.291378,2020-01-04,16:30:00,2020-01-04 16:30:00,2020,1,4,5,16,1,9,459,1,0,1,0,0,0,1,0,0
Blue-tailed Bee-eater,1.0,Hambantota,Bundala NP,6.188598,81.2200356,2020-01-05,05:46:00,2020-01-05 05:46:00,2020,1,5,6,5,1,3,66,0,0,1,0,0,1,0,0,0
Red-vented Bulbul,1.0,Hambantota,Bundala NP,6.188598,81.2200356,2020-01-05,05:46:00,2020-01-05 05:46:00,2020,1,5,6,5,1,3,66,1,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,1.0,Thissamaharama,Thissamaharama Stupa temple,6.2800217,81.291378,2020-01-05,06:00:00,2020-01-05 06:00:00,2020,1,5,6,6,1,9,459,0,0,1,0,0,1,0,0,0
White-throated Kingfisher,1.0,Thissamaharama,Thissamaharama Stupa temple,6.2800217,81.291378,2020-01-05,06:00:00,2020-01-05 06:00:00,2020,1,5,6,6,1,9,459,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,4.0,Thissamaharama,Tissa Lake,6.2885959,81.2879062,2020-01-05,08:30:00,2020-01-05 08:30:00,2020,1,5,6,8,1,9,461,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,4.0,Thissamaharama,Tissa Lake,6.2885959,81.2879062,2020-01-05,08:30:00,2020-01-05 08:30:00,2020,1,5,6,8,1,9,461,2,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,1.0,Ambalantota,Kalametiya Road,6.087528,80.9468062,2020-01-06,07:09:00,2020-01-06 07:09:00,2020,1,6,0,7,1,0,222,0,0,1,0,0,1,0,0,0
Red-vented Bulbul,1.0,Ambalantota,Kalametiya Road,6.087528,80.9468062,2020-01-06,07:09:00,2020-01-06 07:09:00,2020,1,6,0,7,1,0,222,1,0,1,0,0,1,0,0,0
White-throated Kingfisher,1.0,Ambalantota,Kalametiya Road,6.087528,80.9468062,2020-01-06,07:09:00,2020-01-06 07:09:00,2020,1,6,0,7,1,0,222,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,3.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020,1,6,0,8,1,9,589,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,3.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020,1,6,0,8,1,9,589,2,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,5.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020,1,6,0,8,1,9,589,0,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,5.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020,1,6,0,8,1,9,589,0,0,1,0,0,1,0,0,0
Red-vented Bulbul,5.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020,1,6,0,8,1,9,589,1,0,1,0,0,1,0,0,0
Red-vented Bulbul,5.0,Thissamaharama,Yala Natl Park Block I,6.4383178,81.5950737,2020-01-06,08:00:00,2020-01-06 08:00:00,2020,1,6,0,8,1,9,589,1,0,1,0,0,1,0,0,0
White-throated Kingfisher,1.0,Thissamaharama,Hibiscus Garden Hotel Tissamaharama,6.2973268,81.293968,2020-01-06,15:47:00,2020-01-06 15:47:00,2020,1,6,0,15,1,9,200,2,0,1,0,0,0,1,0,0
Red-vented Bulbul,1.0,Thissamaharama,Hibiscus Garden Hotel Tissamaharama,6.2973268,81.293968,2020-01-06,15:47:00,2020-01-06 15:47:00,2020,1,6,0,15,1,9,200,1,0,1,0,0,0,1,0,0
Red-vented Bulbul,1.0,Hambantota,Hambantota,6.124,81.122,2020-01-06,17:16:00,2020-01-06 17:16:00,2020,1,6,0,17,1,3,192,1,0,1,0,0,0,0,1,0
White-throated Kingfisher,3.0,Thissamaharama,Pannegamuwa Lake,6.3092571,81.2350559,2020-01-07,15:30:00,2020-01-07 15:30:00,2020,1,7,1,15,1,9,359,2,0,1,0,0,0,1,0,0
Blue-tailed Bee-eater,3.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-08,06:30:00,2020-01-08 06:30:00,2020,1,8,2,6,1,3,69,0,0,1,0,0,1,0,0,0
Red-vented Bulbul,1.0,Thissamaharama,Kataragama  Situlpawwa Road,6.386,81.413,2020-01-09,07:41:00,2020-01-09 07:41:00,2020,1,9,3,7,1,9,232,1,0,1,0,0,1,0,0,0
Red-vented Bulbul,1.0,Thissamaharama,Yala National Park General,6.3531747,81.4722061,2020-01-09,11:48:00,2020-01-09 11:48:00,2020,1,9,3,11,1,9,582,1,0,1,0,0,1,0,0,0
White-throated Kingfisher,1.0,Hambantota,Bundala NP,6.188598,81.2200356,2020-01-10,06:05:00,2020-01-10 06:05:00,2020,1,10,4,6,1,3,66,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,1.0,Thissamaharama,Debarawewa Lake,6.2935227,81.2677467,2020-01-10,08:16:00,2020-01-10 08:16:00,2020,1,10,4,8,1,9,141,2,0,1,0,0,1,0,0,0
Red-vented Bulbul,6.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00,2020-01-10 10:00:00,2020,1,10,4,10,1,3,69,1,0,1,0,0,1,0,0,0
Red-vented Bulbul,6.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00,2020-01-10 10:00:00,2020,1,10,4,10,1,3,69,1,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,40.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00,2020-01-10 10:00:00,2020,1,10,4,10,1,3,69,0,0,1,0,0,1,0,0,0
Blue-tailed Bee-eater,40.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00,2020-01-10 10:00:00,2020,1,10,4,10,1,3,69,0,0,1,0,0,1,0,0,0
White-throated Kingfisher,4.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00,2020-01-10 10:00:00,2020,1,10,4,10,1,3,69,2,0,1,0,0,1,0,0,0
White-throated Kingfisher,4.0,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00,2020-01-10 10:00:00,2020,1,10,4,10,1,3,69,2,0,1,0,0,1,0,0,0
Red-vented Bulbul,20.0,Thissamaharama,Yala National Park General,6.3531747,81.4722061,2020-01-10,14:00:00,2020-01-10 14:00:00,2020,1,10,4,14,1,9,582,1,0,1,0,0,0,1,0,0
