Name,Scientific Name,Description
Red-vented Bulbul,Pycnonotus cafer,"A dark, sleek, medium-sized bird with a black crest and a white rump. The red color under the tail is often difficult to see. Eats fruit, flower buds, and insects. Conspicuous and sometimes gregarious, often seen high in trees or perched on wires in urban and rural areas; generally prefers scrubby edge habitat instead of dense forest. Calls include a variety of chirps and whistles. Native to South and Southeast Asia. Introduced to Kuwait, Qatar, United Arab Emirates, Oman, and some Polynesian islands, including Hawaii."
Blue-tailed Bee-eater,Merops philippinus,"Elegant, slender bird of open country, frequently seen in flight or perched on exposed snags or telephone wires. Adult green overall, with blue tail, thin black mask, and rufous throat; bright rufous underwings visible in flight. Juvenile similar but paler, with tannish throat and shorter tail, lacking the adult's elongated central tail feathers. Flying bird has distinctive shape, with broad, sharply pointed wings, long tail, and long bill. Nests colonially in sandbanks. Voice a sweet, clipped “cheer-it,” sometimes given in series."
White-throated Kingfisher,Halcyon smyrnensis,"Large-headed, predominantly brown kingfisher with electric-blue back and wings, heavy red bill, and snow-white patch from the throat through the breast. Common both near and away from water; frequently seen perched on fence posts and telephone lines near wetlands, lakes, agricultural fields, and clearings. Gives jarring, raptor-like descending trills and cackles, often in flight."
Gray-headed Swamphen,Porphyrio poliocephalus,"A very large bluish-purple waterbird with a red bill and forehead shield, as well as red legs and feet with long toes. The tail is flicked up often, revealing fluffy white “underpants.” Juveniles are duller than adults and lack the red bill and shield. An inhabitant of marshy, vegetated freshwater bodies such as swamps, rivers, and lakes; usually in small groups. Feeds, often clumsily, at muddy water edges, in reeds, and on floating vegetation. Makes short nasal grunts and croaking sounds. Formerly part of the species known as Purple Swamphen."
White-breasted Waterhen,Amaurornis phoenicurus,"Medium-sized, fairly common chickenlike marsh bird found in meadows, ditches, riversides, marshes, as well as parks and farmlands in close proximity to humans; often seen foraging in the open. Adults are dark slaty above and white below, with a rusty patch under the tail. Juvenile similar but duller in color. Remarkably variable song is a series of hooting, grunting, or rasping notes or phrases, repeated monotonously, often from an exposed perch."
Red-wattled Lapwing,Vanellus indicus,"A distinctly marked lapwing with a black breast and throat and a red bill with a black tip. It also sports red wattles in front of the eyes and a white patch that runs down the cheeks to the underparts. In flight, note the black flight feathers that contrast with the white wing patch. Usually found in small groups around water bodies, agricultural fields, and dry land. They feed primarily on insects, catching them in a typical plover like manner, running a short distance and picking up food from ground. A bird known for its characteristics loud alarm call, often compared to the words “Did we do it?”"
Little Cormorant,Microcarbo niger,"An all black ducklike waterbird with a distinctive flattish head and a bill that is sharply hooked at the tip. Smallest of the cormorants found in the region. Breeding adults have white plumes on the sides of the head. Like all cormorants, frequently seen swimming with its body low in the water, head and neck pointing upward, and suddenly disappearing underwater to catch fish. Often perches upright on a rock, drying itself with outstretched wings. Seen singly or in small groups in inland water bodies. Similar to Indian Cormorant, but note smaller size, stouter bill, and shape of the head, flat on Little Cormorant and rounded on Indian Cormorant."
Black-headed Ibis,Threskiornis melanocephalus,"A large wader with a white body and bare black head and neck. Males and females look similar and both have grayish tail feathers. It probes into mud and shallow water with its long, down curved black bill, sometimes submerging its entire head. Found primarily around wetlands including agricultural fields and occasionally around coastal areas, but also seen foraging in dry fields and human-modified landscapes."
Indian Pond-Heron,Ardeola grayii,"A small heron that is common in most aquatic habitats across the Indian subcontinent. Adults in breeding plumage have a dark reddish brown back that contrasts with a yellowish head, neck, and breast. In nonbreeding plumage they are virtually indistinguishable from nonbreeding Chinese Pond-Heron. In flight, adults appear surprisingly white due to their strikingly white wings, underparts, and tail. Although typically solitary, large numbers often gather where food is plentiful. Prone to seasonally local movements and vagrancy."
Little Egret,Egretta garzetta,"Small snow-white heron with slender dark bill, blackish legs, and yellowish feet (""golden slippers""). Breeding adult has 2 long wispy head plumes and a spray of white plumes (""aigrettes"") on the lower back. Inhabits a wide variety of wetlands: lakes, rivers, marshes, estuaries—almost anywhere with small fish. Occurs as singles or small loose groups; nests and roosts communally. Distinctive within its range, but compare with larger Great and Intermediate Egrets, stockier Cattle Egret, and white morph reef herons."
