LATITUDE,LONGITUDE,ScaledCountPerMinute,OBSERVATION COUNT,Season_Northeast Monsoon,Season_Second Inter-monsoon,Season_Southwest Monsoon,Season_Unknown,Season_Time,TimeOfDay_Evening,TimeOfDay_Morning
6.0799399,80.9329748,-0.07409610001130516,4.0,True,False,False,False,False,False,False
6.076015,80.9329447,-0.05212203877127793,4.0,True,False,False,False,True,False,True
6.0837023,80.9323441,-0.03634578967587377,8.0,True,False,False,False,False,False,False
6.0968647,80.9243003,0.000981942558787875,3.0,True,False,False,False,False,False,False
6.0968647,80.9243003,0.000981942558787875,3.0,True,False,False,False,False,False,False
6.0957235,80.9555139,-0.06677141293129608,4.0,True,False,False,False,False,False,False
6.0837023,80.9323441,-0.03634578967587377,8.0,True,False,False,False,False,False,False
6.0968647,80.9243003,0.000981942558787875,3.0,True,False,False,False,False,False,False
6.0837023,80.9323441,-0.03634578967587377,8.0,True,False,False,False,False,False,False
6.0957235,80.9555139,-0.06677141293129608,4.0,True,False,False,False,False,False,False
6.09382,80.9541666,-0.05306715968482749,4.0,True,False,False,False,False,False,False
6.0837023,80.9323441,-0.03634578967587377,8.0,True,False,False,False,False,False,False
6.0957235,80.9555139,-0.06677141293129608,4.0,True,False,False,False,False,False,False
6.0906125,80.9354124,-0.08142078709131424,,True,False,False,False,True,False,True
6.0968647,80.9243003,0.000981942558787875,3.0,True,False,False,False,False,False,False
6.0957235,80.9555139,-0.06677141293129608,4.0,True,False,False,False,False,False,False
6.0906125,80.9354124,-0.08142078709131424,,False,False,False,False,False,False,True
6.0957235,80.9555139,-0.03595721211194756,6.0,False,False,False,False,False,False,False
6.0985829,80.9547514,0.05042358034884914,3.0,False,False,False,False,False,False,False
6.0906125,80.9354124,-0.037472664611259775,1.0,False,False,False,False,False,False,True
6.0906125,80.9354124,-0.0714325774367564,2.0,False,False,False,False,False,False,False
6.0906125,80.9354124,-0.08142078709131424,,False,False,False,False,False,False,True
6.0906125,80.9354124,-0.08022001871754227,1.0,False,False,False,False,False,False,True
6.0957235,80.9555139,-0.03595721211194756,6.0,False,False,False,False,False,False,False
6.0985829,80.9547514,0.05042358034884914,3.0,False,False,False,False,False,False,False
6.19478,80.9499733,-0.06938020558992945,4.0,False,False,True,False,False,False,False
6.19478,80.9499733,-0.06938020558992945,4.0,False,False,True,False,False,False,False
6.0957235,80.9555139,-0.05356634326592761,9.0,False,False,False,True,False,False,False
6.0957235,80.9555139,-0.05356634326592761,9.0,False,False,False,True,False,False,False
6.089234,80.9489068,-0.05490036835335034,7.0,False,False,False,True,False,False,False
6.0906125,80.9354124,-0.08142078709131424,,False,False,False,True,False,False,True
6.0985829,80.9547514,-0.0539532105412802,2.0,False,False,False,True,False,False,False
6.089234,80.9489068,-0.05490036835335034,7.0,False,False,False,True,False,False,False
6.0906125,80.9354124,-0.08142078709131424,,False,False,False,True,False,False,True
6.0957235,80.9555139,-0.05356634326592761,9.0,False,False,False,True,False,False,False
6.0957235,80.9555139,-0.05356634326592761,9.0,False,False,False,True,False,False,False
6.0985829,80.9547514,-0.0539532105412802,2.0,False,False,False,True,False,False,False
6.0957235,80.9555139,-0.05356634326592761,9.0,False,False,False,True,False,False,False
6.0957235,80.9555139,-0.0488666222912739,4.0,False,False,False,True,False,False,False
6.089234,80.9489068,-0.05244400303853108,12.0,False,False,False,True,False,False,False
6.0957235,80.9555139,-0.05356634326592761,9.0,False,False,False,True,False,False,False
6.0957235,80.9555139,-0.0488666222912739,4.0,False,False,False,True,False,False,False
6.089234,80.9489068,-0.05244400303853108,12.0,False,False,False,True,False,False,False
6.0906125,80.9354124,-0.08142078709131424,,True,False,False,False,True,False,True
6.0906125,80.9354124,-0.08142078709131424,,True,False,False,False,True,False,True
6.0906125,80.9354124,-0.07534500978992423,6.0,True,False,False,False,False,False,False
6.0906125,80.9354124,-0.07862154362124708,2.0,True,False,False,False,True,False,True
6.0906125,80.9354124,-0.08142078709131424,,True,False,False,False,True,False,True
6.1620879,80.8989529,-0.05944672585128701,2.0,True,False,False,False,False,False,False
6.0424899,80.7549121,-0.06494024116129382,3.0,True,False,False,False,False,False,False
6.0412961,80.7412477,-0.03147973881852508,5.0,True,False,False,False,True,False,True
6.0424899,80.7549121,-0.06494024116129382,3.0,True,False,False,False,False,False,False
6.0424899,80.7549121,-0.06494024116129382,3.0,True,False,False,False,False,False,False
6.0412961,80.7412477,-0.03147973881852508,5.0,True,False,False,False,True,False,True
6.0412961,80.7412477,-0.03147973881852508,5.0,True,False,False,False,True,False,True
6.0412961,80.7412477,-0.03147973881852508,5.0,True,False,False,False,True,False,True
6.0424899,80.7549121,-0.06494024116129382,3.0,True,False,False,False,False,False,False
6.0662689,80.7316635,0.028449519108821913,6.0,False,False,True,False,False,False,False
6.0463094,80.7294072,-0.04845969523127339,3.0,False,False,True,False,False,False,False
6.1833817,81.2451875,-0.07627061648818285,3.0,True,False,False,False,False,False,False
6.188598,81.2200356,-0.07874102352545725,2.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.07409610001130516,8.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.07867402943631084,3.0,True,False,False,False,False,True,False
6.188598,81.2200356,-0.0682363503472979,9.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.07186684742173718,6.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.07811641698003195,4.0,True,False,False,False,True,False,True
6.1938448,81.2576837,-0.07015203773745413,4.0,True,False,False,False,False,False,False
6.2028327,81.2421641,-0.0488666222912739,4.0,True,False,False,False,True,False,True
6.1938448,81.2576837,-0.07015203773745413,4.0,True,False,False,False,False,False,False
6.1937271,81.1858388,-0.05944672585128701,3.0,True,False,False,False,False,False,False
6.1295157,81.1216347,0.09437170282890361,4.0,True,False,False,False,False,False,False
6.1922451,81.2279787,-0.02868304011524889,6.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.08142078709131424,,True,False,False,False,True,False,True
6.1938448,81.2576837,-0.07015203773745413,4.0,True,False,False,False,False,False,False
6.1822533,81.2234169,-0.06660681322163296,6.0,True,False,False,False,True,False,True
6.1938448,81.2576837,-0.07015203773745413,4.0,True,False,False,False,False,False,False
6.1937271,81.1858388,-0.05944672585128701,3.0,True,False,False,False,False,False,False
6.2028327,81.2421641,-0.0488666222912739,4.0,True,False,False,False,True,False,True
6.2028327,81.2421641,-0.0488666222912739,4.0,True,False,False,False,True,False,True
6.1822533,81.2234169,-0.06660681322163296,6.0,True,False,False,False,True,False,True
6.1822533,81.2234169,-0.06660681322163296,6.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.08142078709131424,,True,False,False,False,True,False,True
6.188598,81.2200356,-0.07983421227253971,2.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.08142078709131424,,True,False,False,False,True,False,True
6.1922451,81.2279787,-0.02868304011524889,6.0,True,False,False,False,True,False,True
6.1822533,81.2234169,-0.06660681322163296,6.0,True,False,False,False,True,False,True
6.2028327,81.2421641,-0.0488666222912739,4.0,True,False,False,False,True,False,True
6.1967839,81.2228324,-0.08142078709131424,,True,False,False,False,True,False,True
6.1922451,81.2279787,-0.02868304011524889,6.0,True,False,False,False,True,False,True
6.1937271,81.1858388,-0.05944672585128701,3.0,True,False,False,False,False,False,False
6.1937271,81.1858388,-0.05944672585128701,3.0,True,False,False,False,False,False,False
6.1935349,81.2585154,-0.06768699881629722,3.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.057220279117715975,25.0,True,False,False,False,False,False,False
6.1943058,81.2637059,-0.04845969523127339,3.0,True,False,False,False,False,True,False
6.188598,81.2200356,-0.07910772801341664,2.0,True,False,False,False,False,False,False
6.1922451,81.2279787,-0.02868304011524889,6.0,True,False,False,False,True,False,True
6.2015578,81.2618267,-0.054623151432744446,5.0,True,False,False,False,False,True,False
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,False
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,True
6.188598,81.2200356,-0.0702475356133343,6.0,False,False,False,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,False
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,True
6.188598,81.2200356,-0.06934712706932125,10.0,False,False,False,False,False,False,True
6.2028327,81.2421641,-0.0488666222912739,4.0,False,False,False,False,False,False,True
6.2047891,81.2298359,0.018461309454264076,5.0,False,False,False,False,False,False,True
6.188598,81.2200356,-0.04375096782269613,30.0,False,False,False,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,False
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,False
6.1938448,81.2576837,0.09437170282890361,8.0,False,False,False,False,False,False,True
6.1938448,81.2576837,-0.013808290968153527,4.0,False,False,False,False,False,False,True
6.2028327,81.2421641,-0.0488666222912739,4.0,False,False,False,False,False,False,True
6.2028327,81.2421641,-0.056307574245568835,4.0,False,False,False,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,False
6.188598,81.2200356,-0.06934712706932125,10.0,False,False,False,False,False,False,True
6.1938448,81.2576837,0.09437170282890361,8.0,False,False,False,False,False,False,True
6.2007,81.2178091,0.16145041608793412,21.0,False,False,False,False,False,False,True
6.1916363,81.2702795,-0.0525075486175942,5.0,False,False,False,False,False,False,True
6.188598,81.2200356,-0.04375096782269613,30.0,False,False,False,False,False,False,True
6.2007,81.2178091,0.16145041608793412,21.0,False,False,False,False,False,False,True
6.2540325,81.1465591,-0.05775641344820799,7.0,False,False,False,False,False,False,True
6.1916363,81.2702795,-0.0525075486175942,5.0,False,False,False,False,False,False,True
6.2028327,81.2421641,-0.056307574245568835,4.0,False,False,False,False,False,False,True
6.188598,81.2200356,-0.04375096782269613,30.0,False,False,False,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,False,False,False,False,False
