GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS896445761,2024-02-12 05:44:39.559593,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-01-12,06:00:00,obsr1001147,S67340474,Traveling,P22,EBIRD,360.0,8.047,,4.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS871512587,2023-10-22 20:02:08.392561,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,5,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-01-04,16:00:00,obsr1139427,S65232533,Traveling,P22,EBIRD,120.0,2.0,,8.0,1,G5571427,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS895248277,2023-10-22 03:23:27.253955,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2020-01-12,06:30:00,obsr1001137,S67224856,Traveling,P22,EBIRD,300.0,3.219,,4.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS960622181,2023-10-22 20:00:25.870217,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,5,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-01-04,16:00:00,obsr1797598,S71829734,Traveling,P22,EBIRD,120.0,2.0,,8.0,1,G5571427,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS873534076,2023-10-22 20:00:03.40601,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Road,L10892553,P,6.087528,80.9468062,2020-01-06,07:09:00,obsr1547179,S65395714,Traveling,P22,EBIRD,236.0,4.345,,2.0,0,,0,1,0,,,Red-vented bulbul,
URN:CornellLabOfOrnithology:EBIRD:OBS896414238,2023-10-23 19:47:12.995479,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-02-01,13:00:00,obsr1001147,S67337980,Traveling,P22,EBIRD,180.0,24.14,,5.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS859045270,2024-08-25 08:08:46.686128,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2020-02-02,08:00:00,obsr922075,S64033554,Traveling,P22,EBIRD,120.0,1.0,,2.0,1,G4935314,0,1,0,,With Athula,,
URN:CornellLabOfOrnithology:EBIRD:OBS864429725,2023-10-22 03:22:43.220657,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,18,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Turtle Bay hotel, Kalametiya",L10757011,P,6.07556,80.934061,2020-02-15,16:49:00,obsr293878,S64492682,Traveling,P22,EBIRD,81.0,2.217,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS865146972,2023-10-17 12:27:05.404891,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,6,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Turtle Bay, Kalametiya",L10756502,P,6.076261,80.93352,2020-02-16,15:55:00,obsr293878,S64556074,Traveling,P22,EBIRD,40.0,3.0,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS865146688,2022-10-22 00:26:06.489871,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Turtle Bay, Kalametiya",L10756502,P,6.076261,80.93352,2020-02-16,16:34:00,obsr293878,S64556050,Traveling,P22,EBIRD,68.0,3.826,,1.0,1,,0,1,0,,,,
