COMMON NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED
Red-vented Bulbul,X,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-12,06:00:00
Red-vented Bulbul,5,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2020-01-12,06:30:00
Red-vented Bulbul,5,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-01-04,16:00:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Road,6.087528,80.9468062,2020-01-06,07:09:00
Red-vented Bulbul,X,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-02-01,13:00:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2020-02-02,08:00:00
Red-vented Bulbul,18,Ambalantota,Turtle Bay hotel Kalametiya,6.07556,80.934061,2020-02-15,16:49:00
Red-vented Bulbul,6,Ambalantota,Turtle Bay Kalametiya,6.076261,80.93352,2020-02-16,15:55:00
Red-vented Bulbul,10,Ambalantota,Turtle Bay Kalametiya,6.076261,80.93352,2020-02-16,16:34:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2020-02-02,08:00:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2020-02-07,13:49:00
Red-vented Bulbul,6,Ambalantota,kalamatiya Sanctuary,6.0952737,80.9535541,2020-02-04,15:30:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2020-03-03,12:11:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2020-08-23,08:20:00
Red-vented Bulbul,X,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-09-03,17:00:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2020-11-19,08:00:00
Red-vented Bulbul,5,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-11-18,09:33:00
Red-vented Bulbul,5,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-11-18,09:33:00
Red-vented Bulbul,8,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-12-27,15:00:00
Red-vented Bulbul,15,Ambalantota,Ussangoda National Park,6.0980884,80.9870036,2020-12-27,11:00:00
Red-vented Bulbul,15,Ambalantota,Kalametiya,6.0977986,80.9622002,2020-12-20,05:45:00
Red-vented Bulbul,5,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2021-01-27,06:30:00
Red-vented Bulbul,10,Ambalantota,Kalametiya Sanctuary Gurupokuna Side,6.1034762,80.9214061,2021-02-04,13:20:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2021-02-04,15:38:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2021-02-04,15:38:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2021-02-04,15:38:00
Red-vented Bulbul,10,Ambalantota,Kalametiya Sanctuary Gurupokuna Side,6.1034762,80.9214061,2021-02-04,13:20:00
